day,week,category,topic,post_type,prompt
1,1,Local data,Mohave County market,Awareness,"Minimal Southwest editorial photo concept: a local storefront window, warm desert light, subtle bilingual signage in English and Spanish, empty space for headline, calm modern composition, not photorealistic, not corporate, brand-aligned clean lines and muted tones."
2,1,Local data,Spanish-speaking market,Awareness,"Clean conceptual brand image: a small business counter with bilingual paperwork, a phone, and a laptop on a simple grid layout, desert-neutral palette, soft shadow, friendly local feel, designed for social ad text overlay, avoid glossy realism."
3,1,Local data,Buying power,Awareness,"Abstract editorial small-business scene: hands reviewing a website on a laptop beside printed bilingual flyers, warm off-white and charcoal palette with one small blue accent, simple composition, roomy negative space, not staged like stock photography."
4,1,Local data,Bilingual necessity,Awareness,"Brand-consistent social concept: a bilingual homepage mockup on a screen next to a local shopfront, clear typography, ruled-paper or blueprint-inspired framing, warm desert light, human-centered and understated, not highly realistic."
5,1,Local data,Conversion confidence,Awareness,"Simple local-business visual: a welcoming storefront, a customer speaking with the owner, a visible bilingual sign, calm and practical mood, modern but not polished to the point of looking corporate, space for a bold short headline."
6,1,Local data,Welcome signal,Awareness,"Minimal concept image for a bilingual welcome message: a website header, a contact form, and a small language toggle suggested through clean design elements, warm neutral colors, modest texture, not futuristic, not photorealistic."
7,1,Local data,Accessibility plus bilingual,Awareness,"Editorial brand image: accessible website elements, strong contrast, keyboard-friendly navigation cues, and a bilingual layout shown in a simple framed composition, desert-inspired palette, calm and useful rather than decorative."
8,2,Machine translation,Drafts only,Education,"Conceptual comparison image: a rough machine-translation draft on one side and a clean human-reviewed Spanish page on the other, built as a simple split layout, brand colors muted, no literal robot imagery, not photorealistic."
9,2,Machine translation,Statistical matching,Education,"Editorial small-business image showing a text translation overlay misfitting a local website, with clean geometric framing and a subtle warning feel, warm Southwest palette, avoid drama and avoid futuristic effects."
10,2,Machine translation,False cognates,Education,"Brand-style visual concept: a bilingual flyer with one phrase visibly corrected by hand, minimal desk scene, paper, pen, and laptop, natural light, quiet and practical, not stock-photo polished."
11,2,Machine translation,Awkward Spanish,Education,"Simple design-led image: a website text block with obviously awkward spacing and then a cleaned version beside it, arranged like a before-and-after proof, modern editorial style, soft desert neutrals, no heavy realism."
12,2,Machine translation,Plugin shortcuts,Education,"Clean conceptual ad image: a website with a generic translation widget in the corner contrasted with a properly localized page, minimal interface framing, subtle blueprint energy, neutral palette with one accent color, not corporate."
13,2,Machine translation,Public-facing risk,Education,"Understated local-business concept: a legal, medical, or service website page that looks unfinished in Spanish, shown through a simple editorial composition, serious but calm, designed for readability and space for copy."
14,2,Machine translation,Professional credibility,Education,"Brand-aligned visual: a polished bilingual homepage contrasted with a clunky translated page, shown in a simple split-panel layout with strong typography, muted tan and charcoal tones, minimal and direct."
15,3,Trust and culture,Local Spanish users,Trust,"Warm editorial local-business scene: a shop owner greeting a customer in a bilingual environment, with calm human expressions and subtle Spanish signage, natural light, not overly posed, brand-consistent and modest."
16,3,Trust and culture,Arizona Spanish,Trust,"Conceptual culture-forward image: bilingual website copy, handwritten notes, and local Southwest visual cues arranged like a thoughtful design board, minimal texture, tasteful and human, not colorful or touristy."
17,3,Trust and culture,Intent over words,Trust,"Editorial brand graphic concept: the same message shown as literal translation and as intent-based translation, in a clean two-column layout, simple typography, warm neutral palette, calm and smart."
18,3,Trust and culture,Genuine welcome,Trust,"Friendly small-business concept image: a bilingual welcome banner near a storefront and website screen, soft desert sunlight, clear visual hierarchy, approachable and local, with enough empty space for ad copy."
19,3,Trust and culture,Afterthought feeling,Trust,"Minimal before-and-after concept: one version of a site feels patched on, the other feels integrated and cared for, shown through simple website panels and gentle contrast, brand-safe and understated."
20,3,Trust and culture,Details build trust,Trust,"Clean local-business visual: a checkout page, contact page, and service page all shown as part of one bilingual system, simple grid layout, subdued color palette, grounded and practical."
